Variable,Omschrijving,Bron,Verplicht,Entiteit,Opmerkingen
HKdeelname,Deelname aan honderdprocent huishoudens (HK-deelname),BRP,Ja,TS,
HKbelasting,Belastingdeelname,CBS,Ja,TS,
HKwoon,Woonsituatie (type verblijf),BRP/IV3,Ja,TS,
HKburgerlijk,Burgerlijke staat,BRP,Ja,TS,
HKmigratieachter,Migratieachtergrond (15+),BRP,Ja,TS,
HKeenpers,Personen in eenpersoonshuishouden,BRP,Ja,TS,
HKjaarmed,Jaarmediane inkomen,IVB,Ja,TS,Geen ontbrekende waarden toegestaan
HKherkomst,Standaarddefinitie herkomst,BRP,Ja,TS,Alternatief: buitenlandse herkomst
HKetniciteit,Etniciteit,CBS,Ja,TS,Deprecated; gebruik herkomst
HKgeslacht,Geslacht,BRP,Ja,TS,
HKleeftijd,Leeftijd op peildatum,BRP,Ja,TS,
HKeengez,Personen in eengezinshuishouden,BRP,Ja,TS,
HKverzopenkinderen,Verzorgende kinderen in huishouden,BRP,Ja,TS,
HKkindertal,Kindertal in huishouden,BRP,Ja,TS,
HKlftcat,Leeftijdscategorie,BRP,Ja,TS,
HKvermissing,Indicator vermiste personen,Politieregistratie,Nee,TS,1-indicator
HKmoord,Moord/doodslag (art. 287-288 WvS),Politieregistratie,Ja,TS,
HKdoodmoord,Moord/doodslag (art. 287-288 WvS) incl. poging,Politieregistratie,Ja,TS,
HKdiefstal,Diefstal totaal (art. 310-314 WvS),Politieregistratie,Ja,TS,
HKinbraakwoning,Woninginbraak (art. 311 WvS),Politieregistratie,Ja,TS,
HKoverval,Overval (art. 317 WvS),Politieregistratie,Ja,TS,
HKmishandeling,Mishandeling totaal (art. 300-306 WvS),Politieregistratie,Ja,TS,
HKbedreiging,Bedreiging (art. 285 WvS),Politieregistratie,Ja,TS,
HKseksmisbruik,Seksueel misbruik minderjarigen (art. 245-247 WvS),Politieregistratie,Ja,TS,
HKverkrachting,Verkrachting (art. 242-243 WvS),Politieregistratie,Ja,TS,
HKdrugs,Drugsdelicten (art. 2-3 OW),Politieregistratie,Ja,TS,
HKvuurwerk,Vuurwerkdelicten (art. 2 Vuurwerkbesluit),Politieregistratie,Ja,TS,
HKeconomy,Economische delicten,CBS/IVB,Nee,TS,
HKfraude,Verzekeringsfraude,CBS,Nee,TS,
HKomzettingvph,Omzetting verblijfsvergunning naar permanent verblijf,BRP,Nee,TS,
HKverblijfstitel,Verblijfstitel,IND,Nee,TS,Categorisch
HKjaarmedinkomen,Jaarmediane inkomen van personen,IVB,Ja,TS,
HKadres,Adres,BRP,Nee,TS,
HKindeling,Inkomen (niet gecorrigeerd),IVB,Nee,TS,
HKinkomen,Gestandaardiseerd inkomen,IVB,Nee,TS,
HKsoortinkomen,Soort inkomen,IVB,Nee,TS,
HKwoz,Woz-waarde,WV,Ja,TS,
HKstappen,Stappen gezet door politie,Politieregistratie,Ja,TS,
HKzaak,Uniek zaakidentificatienummer,Politieregistratie,Ja,Zaak,
HKzaaktype,Zaaktype,Politieregistratie,Ja,Zaak,
HKdatum,Datum registratie,Politieregistratie,Ja,Zaak,
HKperiode,Periode (jaar),Politieregistratie,Ja,Zaak,
HKklasse,Delictklasse,Politieregistratie,Nee,Zaak,
HKverwijzing,Zaakreferentie,Politieregistratie,Nee,Zaak,
HKlocatie,Locatie (X/Y-coord),Politieregistratie,Nee,Zaak,
